Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Haemophilus influenzae ( 727 ),Haemophilus ( 724 ),224519,15064,12728,23.3,14.46,421.5,421.5,29.58,15.74,177.27,198.93
Caudovirales (dsDNA phages),Haemophilus phage HP2 ( 157239 ),Hpunalikevirus ( 1196844 ),38999,393,389,100.0,99.0,3.94,3.94,0.0,0.0,0.0,0.0
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),8193,127,127,64.5,64.5,1.97,1.97,0.0,0.0,0.0,0.0
Bacteria,Pasteurella multocida ( 747 ),Pasteurella ( 745 ),5621,192,120,0.58,1.18,1.97,3.94,97.13,29.38,1.97,1.97
Bacteria,[Pasteurella] pneumotropica ( 758 ),Pasteurella ( 745 ),232,196,120,100.0,1.18,1.97,3.94,0.0,29.38,0.0,1.97
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),149,17,17,8.76,8.64,1.97,1.97,0.0,0.0,0.0,0.0
Viruses,Torque teno virus ( 68887 ),No genus ( -1 ),0,49,0,25.26,0.0,1.97,0.0,0.0,0.0,0.0,0.0
Bacteria,Streptococcus mitis ( 28037 ),Streptococcus ( 1301 ),0,0,-8,-0.15,-0.17,1.97,25.61,-0.14,-0.17,1.97,15.76
Bacteria,Streptococcus pneumoniae ( 1313 ),Streptococcus ( 1301 ),0,-2,-8,-0.14,-0.17,23.64,25.61,0.07,-0.17,13.79,15.76
