Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),2,1,1,1.5,1.5,1.25,1.25,0.0,0.0,0.0,0.0
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),0,0,0,0.5,0.5,0.69,0.69,0.0,0.0,0.0,0.0
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,0.3,0.29,0.14,0.14,0.0,0.0,0.0,0.0
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),0,0,0,0.04,0.02,0.14,0.14,0.0,0.0,0.0,0.0
Deuterostomes,Danio rerio ( 7955 ),Danio ( 7954 ),0,0,0,-0.13,-0.13,0.14,0.14,0.0,0.0,0.0,0.0
Mammalia,Macaca mulatta ( 9544 ),Macaca ( 9539 ),0,0,0,-0.11,-0.06,0.42,0.55,0.0,0.0,0.0,0.0
Bacteria,Veillonella parvula ( 29466 ),Veillonella ( 29465 ),0,0,0,-0.18,-0.18,0.28,0.28,-0.26,-0.23,0.14,0.28
Mammalia,Macaca fascicularis ( 9541 ),Macaca ( 9539 ),0,0,0,4.22,-0.06,0.14,0.55,0.0,0.0,0.0,0.0
Fungi,Candida albicans ( 5476 ),Candida ( 1535326 ),0,0,0,0.95,-0.18,0.28,0.28,0.0,0.0,0.0,0.0
