Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Fungi,Candida glabrata ( 5478 ),Nakaseomyces ( 374468 ),14327,252,392,4.57,4.52,5.83,5.83,73.6,62.83,3.07,3.07
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),4,1,1,3.78,3.78,0.32,0.32,0.0,0.0,0.0,0.0
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,1.12,1.09,0.32,0.32,0.0,0.0,0.0,0.0
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),0,0,0,0.72,0.67,0.39,0.39,0.0,0.0,0.0,0.0
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.48,0.48,0.47,0.47,0.0,0.0,0.0,0.0
Mammalia,Saimiri boliviensis ( 27679 ),Saimiri ( 9520 ),0,0,0,1.03,1.03,0.08,0.08,0.0,0.0,0.0,0.0
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),0,0,0,0.32,0.32,0.55,0.55,0.0,0.0,0.0,0.0
Mammalia,Pan paniscus ( 9597 ),Pan ( 9596 ),0,0,0,-0.04,-0.04,0.08,0.08,0.0,0.0,0.0,0.0
Mammalia,Bos taurus ( 9913 ),Bos ( 9903 ),0,0,0,-0.19,-0.19,0.08,0.08,0.0,0.0,0.0,0.0
Mammalia,Macaca mulatta ( 9544 ),Macaca ( 9539 ),0,0,0,-0.2,-0.21,0.24,0.24,0.0,0.0,0.0,0.0
Propionbacterium acnes,Propionibacterium acnes ( 1747 ),Propionibacterium ( 1743 ),0,0,0,-0.27,-0.27,0.08,0.0,-0.3,-0.3,0.08,0.08
Bacteria,Delftia acidovorans ( 80866 ),Delftia ( 80865 ),0,0,0,-0.11,-0.11,0.16,0.16,-0.37,-0.37,0.08,0.08
Bacteria,Achromobacter xylosoxidans ( 85698 ),Achromobacter ( 222 ),0,0,0,-0.29,-0.29,0.08,0.08,-0.33,-0.33,0.08,0.08
Fungi,Candida albicans ( 5476 ),Candida ( 1535326 ),0,6,0,4.15,-0.01,1.02,1.02,4.38,0.01,0.55,0.55
Fungi,Aspergillus flavus ( 5059 ),Aspergillus ( 5052 ),0,0,0,0.99,-0.04,0.71,3.31,0.0,-0.2,0.0,1.1
Fungi,Aspergillus oryzae ( 5062 ),Aspergillus ( 5052 ),0,2,0,0.79,-0.04,2.6,3.31,0.39,-0.2,1.1,1.1
